Date, Open, High, Low, Close
08/27/09, 6160.69, 6260.57, 6157.22, 6205.00
08/26/09, 6137.22, 6220.54, 6131.71, 6152.00
08/25/09, 6104.97, 6166.53, 6070.82, 6126.79
08/24/09, 6024.68, 6143.83, 6016.00, 6136.26
08/21/09, 5875.87, 6019.50, 5844.95, 6019.47
08/20/09, 5837.98, 5922.45, 5835.31, 5868.92
08/19/09, 5836.90, 5838.64, 5772.34, 5815.38
08/18/09, 5812.89, 5874.70, 5809.41, 5840.38
08/17/09, 5940.88, 5946.09, 5791.24, 5800.72
08/14/09, 5958.69, 6023.50, 5928.77, 5949.57
08/13/09, 5881.63, 6007.41, 5877.95, 5965.65
08/12/09, 5833.26, 5889.04, 5797.34, 5881.63
08/11/09, 5882.77, 5946.35, 5806.43, 5821.07
08/10/09, 5921.46, 5946.71, 5882.13, 5882.77
08/07/09, 5865.01, 5947.47, 5795.17, 5942.34
08/06/09, 5847.51, 5919.96, 5832.34, 5875.45
08/05/09, 5818.47, 5915.82, 5818.47, 5840.55
08/04/09, 5875.45, 5890.68, 5802.42, 5830.66
08/03/09, 5765.39, 5894.90, 5761.91, 5873.71
07/31/09, 5757.55, 5802.28, 5722.36, 5751.47
07/30/09, 5655.96, 5787.27, 5653.12, 5771.47
07/29/09, 5640.30, 5678.08, 5628.33, 5645.52
07/28/09, 5667.90, 5740.51, 5638.73, 5643.78
07/27/09, 5682.49, 5739.91, 5649.09, 5676.59
07/24/09, 5643.00, 5709.11, 5632.44, 5659.88
07/23/09, 5588.73, 5666.91, 5578.08, 5662.13
07/22/09, 5523.57, 5585.82, 5444.26, 5576.56
07/21/09, 5458.20, 5548.91, 5454.46, 5521.83
07/20/09, 5454.85, 5530.12, 5451.37, 5487.78
07/17/09, 5461.42, 5475.43, 5391.16, 5435.71
07/16/09, 5767.55, 5767.55, 5437.19, 5438.81
07/15/09, 5558.88, 5753.66, 5553.66, 5753.63
07/14/09, 5492.11, 5558.04, 5470.51, 5508.43
07/13/09, 5351.64, 5486.68, 5337.72, 5467.75
07/10/09, 5406.00, 5435.77, 5350.33, 5351.64
07/09/09, 5416.09, 5470.24, 5398.50, 5414.69
07/08/09, 5474.66, 5484.53, 5398.22, 5398.69
07/07/09, 5490.75, 5549.54, 5465.54, 5495.53
07/06/09, 5556.22, 5568.14, 5466.97, 5492.49
07/03/09, 5614.16, 5627.38, 5539.29, 5554.48
07/02/09, 5682.61, 5705.52, 5601.77, 5607.20
07/01/09, 5618.12, 5728.35, 5618.12, 5717.43
06/30/09, 5716.30, 5751.12, 5607.21, 5607.68
06/29/09, 5607.86, 5719.52, 5605.64, 5716.30
06/26/09, 5575.03, 5659.09, 5573.29, 5614.83
06/25/09, 5595.29, 5581.57, 5514.60, 5548.91
06/24/09, 5430.52, 5597.42, 5581.09, 5595.25
06/23/09, 5490.51, 5513.95, 5411.28, 5430.46
06/22/09, 5614.20, 5614.20, 5473.09, 5490.55
06/18/09, 5607.48, 5649.14, 5554.04, 5614.24
06/17/09, 5754.40, 5759.62, 5576.10, 5591.81
06/16/09, 5743.67, 5836.08, 5736.00, 5768.33
06/15/09, 5880.96, 5888.21, 5742.72, 5757.60
06/12/09, 5953.96, 5969.66, 5882.97, 5901.86
06/11/09, 5924.03, 5971.42, 5911.35, 5967.89
06/10/09, 5868.75, 5987.19, 5861.79, 5924.03
06/09/09, 5775.61, 5872.63, 5775.61, 5833.93
06/08/09, 5780.19, 5792.38, 5716.67, 5737.30
06/05/09, 5789.21, 5900.13, 5789.21, 5802.82
06/04/09, 5809.87, 5882.61, 5754.74, 5797.92
06/03/09, 6007.55, 6023.42, 5792.22, 5825.55
06/02/09, 6007.37, 6076.83, 5984.94, 6031.94
06/01/09, 5828.12, 6032.58, 5824.63, 6017.82
05/29/09, 5867.60, 5897.03, 5779.35, 5791.54
05/28/09, 5828.11, 5867.61, 5755.24, 5836.29
05/27/09, 5791.27, 5860.68, 5777.17, 5855.93
05/26/09, 5810.64, 5810.64, 5644.85, 5775.61
05/25/09, 5786.45, 5835.22, 5721.93, 5828.03
05/22/09, 5894.28, 5906.48, 5731.29, 5781.22
05/20/09, 5903.52, 6010.52, 5903.52, 5990.13
05/19/09, 5763.73, 5941.16, 5761.98, 5884.35
05/18/09, 5633.75, 5750.63, 5548.07, 5748.04
05/15/09, 5558.27, 5694.82, 5553.04, 5654.67
05/14/09, 5445.00, 5532.41, 5356.03, 5532.13
05/13/09, 5638.64, 5657.47, 5441.53, 5462.43
05/12/09, 5720.38, 5798.76, 5623.89, 5638.64
05/11/09, 5970.60, 5970.60, 5721.66, 5741.30
05/08/09, 5913.03, 6052.48, 5893.87, 5970.60
05/07/09, 5959.63, 6139.12, 5869.20, 5883.23
05/06/09, 5769.06, 6005.99, 5767.31, 5935.09
05/05/09, 5867.73, 5909.00, 5790.88, 5800.61
05/04/09, 5603.29, 5888.77, 5603.29, 5872.99
04/30/09, 5493.94, 5647.13, 5486.31, 5606.79
04/29/09, 5268.74, 5453.73, 5259.34, 5439.63
